"symbol","date","high"
"DOGE","2016-01-01",0.00015650
"DOGE","2016-01-02",0.00015577
"DOGE","2016-01-03",0.00015034
"DOGE","2016-01-04",0.00014831
"DOGE","2016-01-05",0.00015387
"DOGE","2016-01-06",0.00013770
"DOGE","2016-01-07",0.00014210
"DOGE","2016-01-08",0.00015829
"DOGE","2016-01-09",0.00020219
"DOGE","2016-01-10",0.00017989
"DOGE","2016-01-11",0.00017718
"DOGE","2016-01-12",0.00019303
"DOGE","2016-01-13",0.00018401
"DOGE","2016-01-14",0.00018090
"DOGE","2016-01-15",0.00017582
"DOGE","2016-01-16",0.00015621
"DOGE","2016-01-17",0.00015640
"DOGE","2016-01-18",0.00015326
"DOGE","2016-01-19",0.00015179
"DOGE","2016-01-20",0.00017116
"DOGE","2016-01-21",0.00016945
"DOGE","2016-01-22",0.00018382
"DOGE","2016-01-23",0.00017675
"DOGE","2016-01-24",0.00019348
"DOGE","2016-01-25",0.00021679
"DOGE","2016-01-26",0.00038299
"DOGE","2016-01-27",0.00049621
"DOGE","2016-01-28",0.00050046
"DOGE","2016-01-29",0.00034678
"DOGE","2016-01-30",0.00032633
"DOGE","2016-01-31",0.00031759
"DOGE","2016-02-01",0.00029389
"DOGE","2016-02-02",0.00027142
"DOGE","2016-02-03",0.00027259
"DOGE","2016-02-04",0.00028986
"DOGE","2016-02-05",0.00030925
"DOGE","2016-02-06",0.00032765
"DOGE","2016-02-07",0.00031191
"DOGE","2016-02-08",0.00029924
"DOGE","2016-02-09",0.00029591
"DOGE","2016-02-10",0.00030420
"DOGE","2016-02-11",0.00030320
"DOGE","2016-02-12",0.00030069
"DOGE","2016-02-13",0.00030146
"DOGE","2016-02-14",0.00030511
"DOGE","2016-02-15",0.00030241
"DOGE","2016-02-16",0.00030006
"DOGE","2016-02-17",0.00029378
"DOGE","2016-02-18",0.00028724
"DOGE","2016-02-19",0.00030173
"DOGE","2016-02-20",0.00030441
"DOGE","2016-02-21",0.00029392
"DOGE","2016-02-22",0.00028782
"DOGE","2016-02-23",0.00028424
"DOGE","2016-02-24",0.00028309
"DOGE","2016-02-25",0.00027801
"DOGE","2016-02-26",0.00027014
"DOGE","2016-02-27",0.00026767
"DOGE","2016-02-28",0.00025756
"DOGE","2016-02-29",0.00025831
"DOGE","2016-03-01",0.00025043
"DOGE","2016-03-02",0.00025117
"DOGE","2016-03-03",0.00024738
"DOGE","2016-03-04",0.00024692
"DOGE","2016-03-05",0.00023904
"DOGE","2016-03-06",0.00022544
"DOGE","2016-03-07",0.00024004
"DOGE","2016-03-08",0.00023392
"DOGE","2016-03-09",0.00023088
"DOGE","2016-03-10",0.00024732
"DOGE","2016-03-11",0.00024718
"DOGE","2016-03-12",0.00024287
"DOGE","2016-03-13",0.00024465
"DOGE","2016-03-14",0.00024575
"DOGE","2016-03-15",0.00023865
"DOGE","2016-03-16",0.00023443
"DOGE","2016-03-17",0.00023292
"DOGE","2016-03-18",0.00022361
"DOGE","2016-03-19",0.00022009
"DOGE","2016-03-20",0.00022105
"DOGE","2016-03-21",0.00021572
"DOGE","2016-03-22",0.00021683
"DOGE","2016-03-23",0.00021679
"DOGE","2016-03-24",0.00021914
"DOGE","2016-03-25",0.00021715
"DOGE","2016-03-26",0.00021552
"DOGE","2016-03-27",0.00021819
"DOGE","2016-03-28",0.00021877
"DOGE","2016-03-29",0.00025902
"DOGE","2016-03-30",0.00025991
"DOGE","2016-03-31",0.00023511
"DOGE","2016-04-01",0.00023300
"DOGE","2016-04-02",0.00022909
"DOGE","2016-04-03",0.00022697
"DOGE","2016-04-04",0.00022347
"DOGE","2016-04-05",0.00022032
"DOGE","2016-04-06",0.00021956
"DOGE","2016-04-07",0.00021821
"DOGE","2016-04-08",0.00021487
"DOGE","2016-04-09",0.00021478
"DOGE","2016-04-10",0.00021043
"DOGE","2016-04-11",0.00021450
"DOGE","2016-04-12",0.00024157
"DOGE","2016-04-13",0.00023922
"DOGE","2016-04-14",0.00023473
"DOGE","2016-04-15",0.00023592
"DOGE","2016-04-16",0.00023681
"DOGE","2016-04-17",0.00023055
"DOGE","2016-04-18",0.00022789
"DOGE","2016-04-19",0.00022646
"DOGE","2016-04-20",0.00022731
"DOGE","2016-04-21",0.00022819
"DOGE","2016-04-22",0.00022674
"DOGE","2016-04-23",0.00022707
"DOGE","2016-04-24",0.00022788
"DOGE","2016-04-25",0.00023126
"DOGE","2016-04-26",0.00023548
"DOGE","2016-04-27",0.00023281
"DOGE","2016-04-28",0.00023067
"DOGE","2016-04-29",0.00022904
"DOGE","2016-04-30",0.00023058
"DOGE","2016-05-01",0.00022808
"DOGE","2016-05-02",0.00023128
"DOGE","2016-05-03",0.00023075
"DOGE","2016-05-04",0.00022806
"DOGE","2016-05-05",0.00022671
"DOGE","2016-05-06",0.00022664
"DOGE","2016-05-07",0.00022530
"DOGE","2016-05-08",0.00022343
"DOGE","2016-05-09",0.00022497
"DOGE","2016-05-10",0.00022425
"DOGE","2016-05-11",0.00022438
"DOGE","2016-05-12",0.00023579
"DOGE","2016-05-13",0.00024462
"DOGE","2016-05-14",0.00023700
"DOGE","2016-05-15",0.00023528
"DOGE","2016-05-16",0.00023188
"DOGE","2016-05-17",0.00022984
"DOGE","2016-05-18",0.00022868
"DOGE","2016-05-19",0.00023370
"DOGE","2016-05-20",0.00022794
"DOGE","2016-05-21",0.00022803
"DOGE","2016-05-22",0.00022740
"DOGE","2016-05-23",0.00022630
"DOGE","2016-05-24",0.00022649
"DOGE","2016-05-25",0.00022552
"DOGE","2016-05-26",0.00022992
"DOGE","2016-05-27",0.00023297
"DOGE","2016-05-28",0.00023820
"DOGE","2016-05-29",0.00024569
"DOGE","2016-05-30",0.00024594
"DOGE","2016-05-31",0.00024041
"DOGE","2016-06-01",0.00023498
"DOGE","2016-06-02",0.00023556
"DOGE","2016-06-03",0.00024021
"DOGE","2016-06-04",0.00024390
"DOGE","2016-06-05",0.00023805
"DOGE","2016-06-06",0.00023774
"DOGE","2016-06-07",0.00024016
"DOGE","2016-06-08",0.00024945
"DOGE","2016-06-09",0.00026888
"DOGE","2016-06-10",0.00027229
"DOGE","2016-06-11",0.00026226
"DOGE","2016-06-12",0.00027529
"DOGE","2016-06-13",0.00030564
"DOGE","2016-06-14",0.00034379
"DOGE","2016-06-15",0.00033033
"DOGE","2016-06-16",0.00033466
"DOGE","2016-06-17",0.00034064
"DOGE","2016-06-18",0.00032866
"DOGE","2016-06-19",0.00033979
"DOGE","2016-06-20",0.00034209
"DOGE","2016-06-21",0.00032685
"DOGE","2016-06-22",0.00031463
"DOGE","2016-06-23",0.00028259
"DOGE","2016-06-24",0.00029239
"DOGE","2016-06-25",0.00029675
"DOGE","2016-06-26",0.00029354
"DOGE","2016-06-27",0.00028807
"DOGE","2016-06-28",0.00030494
"DOGE","2016-06-29",0.00030053
"DOGE","2016-06-30",0.00030597
"DOGE","2016-07-01",0.00030911
"DOGE","2016-07-02",0.00030627
"DOGE","2016-07-03",0.00030695
"DOGE","2016-07-04",0.00029152
"DOGE","2016-07-05",0.00029537
"DOGE","2016-07-06",0.00028987
"DOGE","2016-07-07",0.00028412
"DOGE","2016-07-08",0.00028085
"DOGE","2016-07-09",0.00027871
"DOGE","2016-07-10",0.00027374
"DOGE","2016-07-11",0.00029303
"DOGE","2016-07-12",0.00027086
"DOGE","2016-07-13",0.00026769
"DOGE","2016-07-14",0.00026739
"DOGE","2016-07-15",0.00026588
"DOGE","2016-07-16",0.00026566
"DOGE","2016-07-17",0.00026404
"DOGE","2016-07-18",0.00026346
"DOGE","2016-07-19",0.00025454
"DOGE","2016-07-20",0.00024686
"DOGE","2016-07-21",0.00024298
"DOGE","2016-07-22",0.00024028
"DOGE","2016-07-23",0.00025065
"DOGE","2016-07-24",0.00025381
"DOGE","2016-07-25",0.00024881
"DOGE","2016-07-26",0.00024565
"DOGE","2016-07-27",0.00024074
"DOGE","2016-07-28",0.00023979
"DOGE","2016-07-29",0.00023929
"DOGE","2016-07-30",0.00024008
"DOGE","2016-07-31",0.00023857
"DOGE","2016-08-01",0.00023251
"DOGE","2016-08-02",0.00022754
"DOGE","2016-08-03",0.00021762
"DOGE","2016-08-04",0.00021687
"DOGE","2016-08-05",0.00021940
"DOGE","2016-08-06",0.00023399
"DOGE","2016-08-07",0.00027654
"DOGE","2016-08-08",0.00025930
"DOGE","2016-08-09",0.00024061
"DOGE","2016-08-10",0.00024853
"DOGE","2016-08-11",0.00024336
"DOGE","2016-08-12",0.00023955
"DOGE","2016-08-13",0.00024099
"DOGE","2016-08-14",0.00025184
"DOGE","2016-08-15",0.00024986
"DOGE","2016-08-16",0.00026302
"DOGE","2016-08-17",0.00026343
"DOGE","2016-08-18",0.00025225
"DOGE","2016-08-19",0.00024729
"DOGE","2016-08-20",0.00024125
"DOGE","2016-08-21",0.00023910
