"symbol","date","low"
"DOGE","2016-01-01",0.00015003
"DOGE","2016-01-02",0.00014829
"DOGE","2016-01-03",0.00014266
"DOGE","2016-01-04",0.00014169
"DOGE","2016-01-05",0.00013499
"DOGE","2016-01-06",0.00013401
"DOGE","2016-01-07",0.00013442
"DOGE","2016-01-08",0.00013781
"DOGE","2016-01-09",0.00016896
"DOGE","2016-01-10",0.00015856
"DOGE","2016-01-11",0.00016638
"DOGE","2016-01-12",0.00016924
"DOGE","2016-01-13",0.00017585
"DOGE","2016-01-14",0.00017228
"DOGE","2016-01-15",0.00014872
"DOGE","2016-01-16",0.00014459
"DOGE","2016-01-17",0.00015004
"DOGE","2016-01-18",0.00014984
"DOGE","2016-01-19",0.00014654
"DOGE","2016-01-20",0.00014599
"DOGE","2016-01-21",0.00016051
"DOGE","2016-01-22",0.00016054
"DOGE","2016-01-23",0.00017094
"DOGE","2016-01-24",0.00016992
"DOGE","2016-01-25",0.00019015
"DOGE","2016-01-26",0.00020756
"DOGE","2016-01-27",0.00034854
"DOGE","2016-01-28",0.00032904
"DOGE","2016-01-29",0.00029840
"DOGE","2016-01-30",0.00025181
"DOGE","2016-01-31",0.00021384
"DOGE","2016-02-01",0.00025920
"DOGE","2016-02-02",0.00025625
"DOGE","2016-02-03",0.00025826
"DOGE","2016-02-04",0.00026449
"DOGE","2016-02-05",0.00028262
"DOGE","2016-02-06",0.00030025
"DOGE","2016-02-07",0.00028223
"DOGE","2016-02-08",0.00028333
"DOGE","2016-02-09",0.00028642
"DOGE","2016-02-10",0.00028957
"DOGE","2016-02-11",0.00028039
"DOGE","2016-02-12",0.00028357
"DOGE","2016-02-13",0.00029231
"DOGE","2016-02-14",0.00029502
"DOGE","2016-02-15",0.00029449
"DOGE","2016-02-16",0.00029154
"DOGE","2016-02-17",0.00027760
"DOGE","2016-02-18",0.00027273
"DOGE","2016-02-19",0.00027694
"DOGE","2016-02-20",0.00029014
"DOGE","2016-02-21",0.00028323
"DOGE","2016-02-22",0.00028198
"DOGE","2016-02-23",0.00027663
"DOGE","2016-02-24",0.00027340
"DOGE","2016-02-25",0.00026740
"DOGE","2016-02-26",0.00025513
"DOGE","2016-02-27",0.00025322
"DOGE","2016-02-28",0.00024367
"DOGE","2016-02-29",0.00024832
"DOGE","2016-03-01",0.00024325
"DOGE","2016-03-02",0.00024181
"DOGE","2016-03-03",0.00023899
"DOGE","2016-03-04",0.00023726
"DOGE","2016-03-05",0.00022062
"DOGE","2016-03-06",0.00021854
"DOGE","2016-03-07",0.00021808
"DOGE","2016-03-08",0.00021850
"DOGE","2016-03-09",0.00021759
"DOGE","2016-03-10",0.00022732
"DOGE","2016-03-11",0.00023707
"DOGE","2016-03-12",0.00023349
"DOGE","2016-03-13",0.00023308
"DOGE","2016-03-14",0.00023450
"DOGE","2016-03-15",0.00022998
"DOGE","2016-03-16",0.00022739
"DOGE","2016-03-17",0.00022113
"DOGE","2016-03-18",0.00020710
"DOGE","2016-03-19",0.00020868
"DOGE","2016-03-20",0.00020920
"DOGE","2016-03-21",0.00020997
"DOGE","2016-03-22",0.00020935
"DOGE","2016-03-23",0.00020931
"DOGE","2016-03-24",0.00020998
"DOGE","2016-03-25",0.00021264
"DOGE","2016-03-26",0.00021131
"DOGE","2016-03-27",0.00021173
"DOGE","2016-03-28",0.00021346
"DOGE","2016-03-29",0.00021504
"DOGE","2016-03-30",0.00022815
"DOGE","2016-03-31",0.00022264
"DOGE","2016-04-01",0.00022077
"DOGE","2016-04-02",0.00022256
"DOGE","2016-04-03",0.00021885
"DOGE","2016-04-04",0.00021784
"DOGE","2016-04-05",0.00021323
"DOGE","2016-04-06",0.00021382
"DOGE","2016-04-07",0.00020867
"DOGE","2016-04-08",0.00020886
"DOGE","2016-04-09",0.00020699
"DOGE","2016-04-10",0.00019708
"DOGE","2016-04-11",0.00020151
"DOGE","2016-04-12",0.00021171
"DOGE","2016-04-13",0.00022449
"DOGE","2016-04-14",0.00022513
"DOGE","2016-04-15",0.00022754
