"symbol","date","marketcap"
"DOGE","2016-01-01","158211933235"
"DOGE","2016-01-02","154493857611"
"DOGE","2016-01-03","149406430263"
"DOGE","2016-01-04","147259420345"
"DOGE","2016-01-05","140578081767"
"DOGE","2016-01-06","137959490054"
"DOGE","2016-01-07","142819151568"
"DOGE","2016-01-08","16237239695"
"DOGE","2016-01-09","184469982945"
"DOGE","2016-01-10","171138570127"
"DOGE","2016-01-11","175168054706"
"DOGE","2016-01-12","184506957618"
"DOGE","2016-01-13","18178710822"
"DOGE","2016-01-14","179496454137"
"DOGE","2016-01-15","153132593473"
"DOGE","2016-01-16","159199998389"
"DOGE","2016-01-17","156269663381"
"DOGE","2016-01-18","155285269335"
"DOGE","2016-01-19","152152385374"
"DOGE","2016-01-20","172656789845"
"DOGE","2016-01-21","167761994677"
"DOGE","2016-01-22","172915032714"
"DOGE","2016-01-23","177136458052"
"DOGE","2016-01-24","198601330774"
"DOGE","2016-01-25","217685473044"
"DOGE","2016-01-26","366359179284"
"DOGE","2016-01-27","468022737653"
"DOGE","2016-01-28","353974567185"
"DOGE","2016-01-29","325494782402"
"DOGE","2016-01-30","26543412378"
"DOGE","2016-01-31","285028881994"
"DOGE","2016-02-01","278108850763"
"DOGE","2016-02-02","269964131091"
"DOGE","2016-02-03","272888632518"
"DOGE","2016-02-04","295491170121"
"DOGE","2016-02-05","314568691463"
"DOGE","2016-02-06","315262800683"
"DOGE","2016-02-07","293598572827"
"DOGE","2016-02-08","295533587229"
"DOGE","2016-02-09","300708861712"
"DOGE","2016-02-10","307136295385"
"DOGE","2016-02-11","298632082839"
"DOGE","2016-02-12","30990553748"
"DOGE","2016-02-13","304087979414"
"DOGE","2016-02-14","310309996785"
"DOGE","2016-02-15","307389101918"
"DOGE","2016-02-16","300708524342"
"DOGE","2016-02-17","287211248636"
"DOGE","2016-02-18","28657170608"
"DOGE","2016-02-19","306215956318"
"DOGE","2016-02-20","300307002867"
"DOGE","2016-02-21","294604046442"
"DOGE","2016-02-22","291727762388"
"DOGE","2016-02-23","288809835174"
"DOGE","2016-02-24","286529591358"
"DOGE","2016-02-25","278106818924"
"DOGE","2016-02-26","267720594057"
"DOGE","2016-02-27","26325884946"
"DOGE","2016-02-28","262761327048"
"DOGE","2016-02-29","257952849122"
"DOGE","2016-03-01","256948215835"
"DOGE","2016-03-02","252148613893"
"DOGE","2016-03-03","253150652581"
"DOGE","2016-03-04","246478874638"
"DOGE","2016-03-05","23111578901"
"DOGE","2016-03-06","228593356854"
"DOGE","2016-03-07","240625899175"
"DOGE","2016-03-08","227231735946"
"DOGE","2016-03-09","237863680077"
"DOGE","2016-03-10","248961833277"
"DOGE","2016-03-11","249320113128"
"DOGE","2016-03-12","244815745687"
"DOGE","2016-03-13","253151415139"
"DOGE","2016-03-14","246573854129"
"DOGE","2016-03-15","23956653587"
"DOGE","2016-03-16","23864535608"
"DOGE","2016-03-17","230595664827"
"DOGE","2016-03-18","21688162697"
"DOGE","2016-03-19","227645526462"
"DOGE","2016-03-20","221667715677"
"DOGE","2016-03-21","21972941475"
"DOGE","2016-03-22","224636112762"
"DOGE","2016-03-23","219475079659"
"DOGE","2016-03-24","220938626038"
"DOGE","2016-03-25","222272990036"
"DOGE","2016-03-26","220308526275"
"DOGE","2016-03-27","223803832477"
"DOGE","2016-03-28","223253789491"
"DOGE","2016-03-29","263757852796"
"DOGE","2016-03-30","242613231184"
"DOGE","2016-03-31","241593375953"
"DOGE","2016-04-01","232570200284"
"DOGE","2016-04-02","234356699316"
"DOGE","2016-04-03","229527736534"
"DOGE","2016-04-04","227915909849"
"DOGE","2016-04-05","221853552361"
"DOGE","2016-04-06","224716966901"
"DOGE","2016-04-07","219782227448"
"DOGE","2016-04-08","219070358911"
"DOGE","2016-04-09","215696594023"
"DOGE","2016-04-10","212088365266"
"DOGE","2016-04-11","222610516744"
"DOGE","2016-04-12","238192906131"
"DOGE","2016-04-13","24363891165"
"DOGE","2016-04-14","239169340536"
"DOGE","2016-04-15","241733241944"
"DOGE","2016-04-16","239251857793"
"DOGE","2016-04-17","235441401563"
"DOGE","2016-04-18","233511080093"
"DOGE","2016-04-19","230458817436"
"DOGE","2016-04-20","235204021502"
"DOGE","2016-04-21","235532896015"
"DOGE","2016-04-22","23269909"
"DOGE","2016-04-23","232629234393"
"DOGE","2016-04-24","235870500336"
"DOGE","2016-04-25","236628609444"
"DOGE","2016-04-26","239413229178"
"DOGE","2016-04-27","232874427514"
"DOGE","2016-04-28","236890928952"
"DOGE","2016-04-29","235603984737"
"DOGE","2016-04-30","23484893"
"DOGE","2016-05-01","235473695201"
"DOGE","2016-05-02","238506612209"
"DOGE","2016-05-03","237085821362"
"DOGE","2016-05-04","234612156597"
"DOGE","2016-05-05","230405930029"
"DOGE","2016-05-06","234069624072"
"DOGE","2016-05-07","232204608463"
"DOGE","2016-05-08","231753746271"
"DOGE","2016-05-09","233097979441"
"DOGE","2016-05-10","229270642785"
"DOGE","2016-05-11","233689568439"
"DOGE","2016-05-12","245519418234"
"DOGE","2016-05-13","246076773112"
"DOGE","2016-05-14","241451653721"
"DOGE","2016-05-15","240946485301"
"DOGE","2016-05-16","23899556742"
"DOGE","2016-05-17","235973367967"
"DOGE","2016-05-18","237970838511"
"DOGE","2016-05-19","235043686508"
"DOGE","2016-05-20","237919323443"
"DOGE","2016-05-21","236452633669"
"DOGE","2016-05-22","234303120253"
"DOGE","2016-05-23","235160700603"
"DOGE","2016-05-24","234278745725"
"DOGE","2016-05-25","23434949931"
"DOGE","2016-05-26","238387001507"
"DOGE","2016-05-27","240098492906"
"DOGE","2016-05-28","247500042913"
"DOGE","2016-05-29","248695037975"
"DOGE","2016-05-30","249260055943"
"DOGE","2016-05-31","241830484195"
"DOGE","2016-06-01","244265631401"
"DOGE","2016-06-02","241035828727"
"DOGE","2016-06-03","248899355978"
"DOGE","2016-06-04","247471731361"
"DOGE","2016-06-05","247568343628"
"DOGE","2016-06-06","246468418635"
"DOGE","2016-06-07","250704046675"
"DOGE","2016-06-08","257123450177"
"DOGE","2016-06-09","277724893648"
"DOGE","2016-06-10","272699307698"
"DOGE","2016-06-11","264656447568"
"DOGE","2016-06-12","282985461638"
"DOGE","2016-06-13","311956701873"
"DOGE","2016-06-14","334928512903"
"DOGE","2016-06-15","327510416562"
"DOGE","2016-06-16","350670899491"
"DOGE","2016-06-17","336572618867"
"DOGE","2016-06-18","339969897369"
"DOGE","2016-06-19","354372196807"
"DOGE","2016-06-20","338861922271"
"DOGE","2016-06-21","32214517913"
"DOGE","2016-06-22","278652925737"
"DOGE","2016-06-23","293576826401"
"DOGE","2016-06-24","295125893671"
"DOGE","2016-06-25","297562198444"
"DOGE","2016-06-26","298903623516"
"DOGE","2016-06-27","302278747123"
"DOGE","2016-06-28","316212296293"
"DOGE","2016-06-29","310539586385"
"DOGE","2016-06-30","319418619775"
"DOGE","2016-07-01","317119077567"
"DOGE","2016-07-02","321589105403"
"DOGE","2016-07-03","296374104518"
"DOGE","2016-07-04","303902615866"
"DOGE","2016-07-05","301861868994"
"DOGE","2016-07-06","298078800719"
"DOGE","2016-07-07","288520708531"
"DOGE","2016-07-08","291554546054"
"DOGE","2016-07-09","284099453422"
"DOGE","2016-07-10","286040498721"
"DOGE","2016-07-11","280530651497"
"DOGE","2016-07-12","279140677311"
"DOGE","2016-07-13","276056939282"
"DOGE","2016-07-14","275626562701"
"DOGE","2016-07-15","277741108398"
"DOGE","2016-07-16","275708429064"
"DOGE","2016-07-17","276767278477"
"DOGE","2016-07-18","265529955993"
"DOGE","2016-07-19","25795840518"
"DOGE","2016-07-20","256299029751"
"DOGE","2016-07-21","249965532532"
"DOGE","2016-07-22","249713301469"
