"symbol","date","volume"
"DOGE","2016-01-01",105224
"DOGE","2016-01-02",90477296875
"DOGE","2016-01-03",104005
"DOGE","2016-01-04",92159796875
"DOGE","2016-01-05",5293669921875
"DOGE","2016-01-06",4147719921875
"DOGE","2016-01-07",180463
"DOGE","2016-01-08",306716
"DOGE","2016-01-09",1201210
"DOGE","2016-01-10",326345
"DOGE","2016-01-11",154848
"DOGE","2016-01-12",669461
"DOGE","2016-01-13",302111
"DOGE","2016-01-14",160331
"DOGE","2016-01-15",274796
"DOGE","2016-01-16",240252
"DOGE","2016-01-17",647278984375
"DOGE","2016-01-18",90041
"DOGE","2016-01-19",76181703125
"DOGE","2016-01-20",284867
"DOGE","2016-01-21",127039
"DOGE","2016-01-22",485854
"DOGE","2016-01-23",162077
"DOGE","2016-01-24",463251
"DOGE","2016-01-25",776273
"DOGE","2016-01-26",4585660
"DOGE","2016-01-27",5266350
"DOGE","2016-01-28",2941270
"DOGE","2016-01-29",1012590
"DOGE","2016-01-30",943534
"DOGE","2016-01-31",1750220
"DOGE","2016-02-01",629834
"DOGE","2016-02-02",274100
"DOGE","2016-02-03",236381
"DOGE","2016-02-04",418938
"DOGE","2016-02-05",474776
"DOGE","2016-02-06",692373
"DOGE","2016-02-07",396252
"DOGE","2016-02-08",189115
"DOGE","2016-02-09",126218
"DOGE","2016-02-10",266304
"DOGE","2016-02-11",343798
"DOGE","2016-02-12",435781
"DOGE","2016-02-13",160931
"DOGE","2016-02-14",237255
"DOGE","2016-02-15",286649
"DOGE","2016-02-16",247274
"DOGE","2016-02-17",320950
"DOGE","2016-02-18",333490
"DOGE","2016-02-19",419137
"DOGE","2016-02-20",267709
"DOGE","2016-02-21",171886
"DOGE","2016-02-22",122982
"DOGE","2016-02-23",164273
"DOGE","2016-02-24",134062
"DOGE","2016-02-25",173164
"DOGE","2016-02-26",228326
"DOGE","2016-02-27",161860
"DOGE","2016-02-28",251988
"DOGE","2016-02-29",157905
"DOGE","2016-03-01",104087
"DOGE","2016-03-02",119044
"DOGE","2016-03-03",150983
"DOGE","2016-03-04",135462
"DOGE","2016-03-05",216091
"DOGE","2016-03-06",186326
"DOGE","2016-03-07",278612
"DOGE","2016-03-08",127965
"DOGE","2016-03-09",212405
"DOGE","2016-03-10",353758
"DOGE","2016-03-11",313735
